benchmark_run_id,chunking_method,embedding_model,vector_database,index_type,retrieval_method,reranking_model,mode,query_count,chunk_count,embedding_dimension,embedding_latency_s,upsert_latency_s,avg_query_latency_ms,p50_query_latency_ms,p95_query_latency_ms,p99_query_latency_ms,avg_rerank_latency_ms,recall_at_1,recall_at_3,recall_at_5,recall_at_10,errors,notes
chunk_01,entity_heuristic_w6,jina_v3,Qdrant,HNSW,Cosine Similarity,bge-reranker-base,local_offline_fallback,50,214,384,0.038003,2e-06,23.359118,22.98725,30.71925,32.767218,0.32667,0.64,0.8,0.88,0.96,,"Offline comparable benchmark, useful for pipeline QA and relative chunk/rerank signal, not final provider latency."
chunk_02,entity_heuristic_w5,jina_v3,Qdrant,HNSW,Cosine Similarity,bge-reranker-base,local_offline_fallback,50,222,384,0.046608,1e-06,30.401484,27.2122,48.30148,52.144874,0.3704,0.66,0.78,0.86,0.96,,"Offline comparable benchmark, useful for pipeline QA and relative chunk/rerank signal, not final provider latency."
chunk_03,entity_heuristic_w4,jina_v3,Qdrant,HNSW,Cosine Similarity,bge-reranker-base,local_offline_fallback,50,227,384,0.081904,1e-06,37.353108,35.01325,54.626385,56.839916,0.431684,0.68,0.78,0.86,0.96,,"Offline comparable benchmark, useful for pipeline QA and relative chunk/rerank signal, not final provider latency."
chunk_04,Heading_sections_l2,jina_v3,Qdrant,HNSW,Cosine Similarity,bge-reranker-base,local_offline_fallback,50,127,384,0.050808,0.0,21.888658,20.74305,30.00486,31.367147,0.78793,0.62,0.78,0.78,0.92,,"Offline comparable benchmark, useful for pipeline QA and relative chunk/rerank signal, not final provider latency."
chunk_05,fixed_tok1200_ov150,jina_v3,Qdrant,HNSW,Cosine Similarity,bge-reranker-base,local_offline_fallback,50,56,384,0.039082,1e-06,9.54897,9.54295,14.18419,15.075819,0.812582,0.64,0.78,0.82,0.88,,"Offline comparable benchmark, useful for pipeline QA and relative chunk/rerank signal, not final provider latency."
chunk_06,semantic_split,jina_v3,Qdrant,HNSW,Cosine Similarity,bge-reranker-base,local_offline_fallback,50,122,384,0.054146,1e-06,20.730354,19.474,30.506975,31.34962,0.370242,0.66,0.8,0.86,0.92,,"Offline comparable benchmark, useful for pipeline QA and relative chunk/rerank signal, not final provider latency."
